legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN1107,paquetes-od-varios-2020,4031,"Massa, Sergio Tomas",Buenos Aires,Frente de Todos,PRESIDENTE,presidente,A50797,https://api.argentinadatos.com/static/diputados/diputados/HCDN1107.jpg
HCDN1031,paquetes-od-varios-2020,4031,"Iglesias, Fernando Adolfo",CABA,Pro,AUSENTE,ausente,A4666,https://api.argentinadatos.com/static/diputados/diputados/HCDN1031.jpg
HCDN2363,paquetes-od-varios-2020,4031,"Campos, Javier",Buenos Aires,Coalicion Civica,AUSENTE,ausente,A51088,https://api.argentinadatos.com/static/diputados/diputados/HCDN2363.jpg
vote-flores-hector-toty,paquetes-od-varios-2020,4031,"Flores, Héctor Toty",,,AFIRMATIVO,afirmativo,A51086,
HCDN1214,paquetes-od-varios-2020,4031,"Terada, Alicia",Chaco,Coalicion Civica,AFIRMATIVO,afirmativo,A4730,https://api.argentinadatos.com/static/diputados/diputados/HCDN1214.jpg
HCDN2823,paquetes-od-varios-2020,4031,"Zuvic, Mariana",CABA,Coalicion Civica,AFIRMATIVO,afirmativo,A51230,https://api.argentinadatos.com/static/diputados/diputados/HCDN2823.jpg
HCDN2362,paquetes-od-varios-2020,4031,"Campagnoli, Marcela",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,A51061,https://api.argentinadatos.com/static/diputados/diputados/HCDN2362.jpg
vote-guevara-olivera-alejandro-francisco,paquetes-od-varios-2020,4031,"Guevara Olivera, Alejandro Francisco",,,AFIRMATIVO,afirmativo,A51250,
HCDN2382,paquetes-od-varios-2020,4031,"Ginocchio, Silvana Micaela",Catamarca,Frente de Todos,AFIRMATIVO,afirmativo,A51051,https://api.argentinadatos.com/static/diputados/diputados/HCDN2382.jpg
HCDN2791,paquetes-od-varios-2020,4031,"Lopez Rodriguez, Dante",Catamarca,Frente de Todos,AFIRMATIVO,afirmativo,A51235,https://api.argentinadatos.com/static/diputados/diputados/HCDN2791.jpg
HCDN1119,paquetes-od-varios-2020,4031,"Corpacci, Lucia Benigna",Catamarca,Frente de Todos,AFIRMATIVO,afirmativo,A51197,https://api.argentinadatos.com/static/diputados/diputados/HCDN1119.jpg
HCDN2817,paquetes-od-varios-2020,4031,"Sand, Nancy",Corrientes,Frente de Todos,AFIRMATIVO,afirmativo,A51162,https://api.argentinadatos.com/static/diputados/diputados/HCDN2817.jpg
HCDN2784,paquetes-od-varios-2020,4031,"Parola, Maria Graciela",Formosa,Frente de Todos,AFIRMATIVO,afirmativo,A51173,https://api.argentinadatos.com/static/diputados/diputados/HCDN2784.jpg
HCDN2376,paquetes-od-varios-2020,4031,"Fernandez Patri, Ramiro",Formosa,Frente de Todos,AFIRMATIVO,afirmativo,A51050,https://api.argentinadatos.com/static/diputados/diputados/HCDN2376.jpg
HCDN2853,paquetes-od-varios-2020,4031,"Daldovo, Nelly Ramona",Formosa,Frente de Todos,AFIRMATIVO,afirmativo,A51258,https://api.argentinadatos.com/static/diputados/diputados/HCDN2853.jpg
HCDN0454,paquetes-od-varios-2020,4031,"Ocaña, Graciela",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A50688,https://api.argentinadatos.com/static/diputados/diputados/HCDN0454.jpg
HCDN1448,paquetes-od-varios-2020,4031,"Wolff, Waldo Ezequiel",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A50910,https://api.argentinadatos.com/static/diputados/diputados/HCDN1448.jpg
vote-cornejo-alfredo,paquetes-od-varios-2020,4031,"Cornejo, Alfredo",,,AFIRMATIVO,afirmativo,A51164,
HCDN1466,paquetes-od-varios-2020,4031,"Gonzalez, Alvaro",CABA,Pro,AFIRMATIVO,afirmativo,A50919,https://api.argentinadatos.com/static/diputados/diputados/HCDN1466.jpg
HCDN2353,paquetes-od-varios-2020,4031,"Polledo, Carmen",CABA,Pro,AFIRMATIVO,afirmativo,A51110,https://api.argentinadatos.com/static/diputados/diputados/HCDN2353.jpg
HCDN2400,paquetes-od-varios-2020,4031,"Oliveto Lago, Paula",CABA,Coalicion Civica,AFIRMATIVO,afirmativo,A51115,https://api.argentinadatos.com/static/diputados/diputados/HCDN2400.jpg
HCDN1511,paquetes-od-varios-2020,4031,"Martinez Villada, Leonor Maria",Córdoba,Coalicion Civica,AFIRMATIVO,afirmativo,A50933,https://api.argentinadatos.com/static/diputados/diputados/HCDN1511.jpg
HCDN2827,paquetes-od-varios-2020,4031,"Castets, Laura Carolina",Santa Fe,Valores Republicanos,AFIRMATIVO,afirmativo,A51195,https://api.argentinadatos.com/static/diputados/diputados/HCDN2827.jpg
HCDN1564,paquetes-od-varios-2020,4031,"Patiño, Jose Luis",CABA,Pro,AUSENTE,ausente,A50990,
HCDN2412,paquetes-od-varios-2020,4031,"Romero, Jorge Antonio",Corrientes,Frente de Todos,AFIRMATIVO,afirmativo,A51084,https://api.argentinadatos.com/static/diputados/diputados/HCDN2412.jpg
vote-vallejos-maria-fernanda,paquetes-od-varios-2020,4031,"Vallejos, María Fernanda",,,AUSENTE,ausente,A51127,
HCDN2434,paquetes-od-varios-2020,4031,"Muñoz, Rosa Rosario",Chubut,Frente de Todos,AFIRMATIVO,afirmativo,A51121,https://api.argentinadatos.com/static/diputados/diputados/HCDN2434.jpg
vote-felix-omar,paquetes-od-varios-2020,4031,"Felix, Omar",,,AFIRMATIVO,afirmativo,A4785,
HCDN2778,paquetes-od-varios-2020,4031,"Casaretto, Marcelo Pablo",Entre Ríos,Frente de Todos,AFIRMATIVO,afirmativo,A51143,https://api.argentinadatos.com/static/diputados/diputados/HCDN2778.jpg
HCDN1180,paquetes-od-varios-2020,4031,"Heller, Carlos",CABA,Frente de Todos,AFIRMATIVO,afirmativo,A4763,https://api.argentinadatos.com/static/diputados/diputados/HCDN1180.jpg
HCDN1350,paquetes-od-varios-2020,4031,"Schwindt, Maria Liliana",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50801,
HCDN2350,paquetes-od-varios-2020,4031,"Allende, Walberto",San Juan,Frente de Todos,AFIRMATIVO,afirmativo,A51078,https://api.argentinadatos.com/static/diputados/diputados/HCDN2350.jpg
HCDN2821,paquetes-od-varios-2020,4031,"Penacca, Paula Andrea",CABA,Frente de Todos,AFIRMATIVO,afirmativo,A51180,https://api.argentinadatos.com/static/diputados/diputados/HCDN2821.jpg
HCDN1130,paquetes-od-varios-2020,4031,"Cano, Jose Manuel",Tucumán,Ucr,AFIRMATIVO,afirmativo,A50877,
HCDN0871,paquetes-od-varios-2020,4031,"De Marchi, Omar",Mendoza,Pro,AFIRMATIVO,afirmativo,A4507,https://api.argentinadatos.com/static/diputados/diputados/HCDN0871.jpg
HCDN1241,paquetes-od-varios-2020,4031,"Bazze, Miguel Angel",Buenos Aires,Ucr,AFIRMATIVO,afirmativo,A50687,https://api.argentinadatos.com/static/diputados/diputados/HCDN1241.jpg
HCDN1439,paquetes-od-varios-2020,4031,"Lospennato, Silvia",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A50900,https://api.argentinadatos.com/static/diputados/diputados/HCDN1439.jpg
HCDN0035,paquetes-od-varios-2020,4031,"Negri, Mario Raul",Córdoba,Ucr,AFIRMATIVO,afirmativo,A50713,https://api.argentinadatos.com/static/diputados/diputados/HCDN0035.jpg
HCDN0788,paquetes-od-varios-2020,4031,"Ritondo, Cristian A.",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51221,https://api.argentinadatos.com/static/diputados/diputados/HCDN0788.jpg
HCDN2787,paquetes-od-varios-2020,4031,"Ferraro, Maximiliano",CABA,Coalicion Civica,AFIRMATIVO,afirmativo,A51181,https://api.argentinadatos.com/static/diputados/diputados/HCDN2787.jpg
HCDN2401,paquetes-od-varios-2020,4031,"Lopez, Juan Manuel",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,A51044,https://api.argentinadatos.com/static/diputados/diputados/HCDN2401.jpg
HCDN1376,paquetes-od-varios-2020,4031,"Burgos, Maria Gabriela",Jujuy,Ucr,AFIRMATIVO,afirmativo,A50836,
HCDN1121,paquetes-od-varios-2020,4031,"Juez, Luis Alfredo",Córdoba,Pro,AFIRMATIVO,afirmativo,A51206,https://api.argentinadatos.com/static/diputados/diputados/HCDN1121.jpg
HCDN2766,paquetes-od-varios-2020,4031,"El Sukaria, Soher",Córdoba,Pro,AFIRMATIVO,afirmativo,A51158,https://api.argentinadatos.com/static/diputados/diputados/HCDN2766.jpg
HCDN2750,paquetes-od-varios-2020,4031,"Ruarte, Adriana Noemi",Córdoba,Pro,AFIRMATIVO,afirmativo,A51165,https://api.argentinadatos.com/static/diputados/diputados/HCDN2750.jpg
HCDN0668,paquetes-od-varios-2020,4031,"De Mendiguren, Jose Ignacio",Buenos Aires,Frente de Todos,AUSENTE,ausente,A50785,
HCDN1352,paquetes-od-varios-2020,4031,"Tundis, Mirta",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50803,https://api.argentinadatos.com/static/diputados/diputados/HCDN1352.jpg
HCDN2773,paquetes-od-varios-2020,4031,"Soria, Martin",Río Negro,Frente de Todos,AFIRMATIVO,afirmativo,A51225,https://api.argentinadatos.com/static/diputados/diputados/HCDN2773.jpg
HCDN0903,paquetes-od-varios-2020,4031,"Moises, Maria Carolina",Jujuy,Frente de Todos,AFIRMATIVO,afirmativo,A51105,https://api.argentinadatos.com/static/diputados/diputados/HCDN0903.jpg
HCDN0298,paquetes-od-varios-2020,4031,"Gioja, Jose Luis",San Juan,Frente de Todos,AFIRMATIVO,afirmativo,A50989,https://api.argentinadatos.com/static/diputados/diputados/HCDN0298.jpg
HCDN1269,paquetes-od-varios-2020,4031,"Grosso, Leonardo",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50683,https://api.argentinadatos.com/static/diputados/diputados/HCDN1269.jpg
HCDN2368,paquetes-od-varios-2020,4031,"Cerruti, Gabriela",CABA,Frente de Todos,AFIRMATIVO,afirmativo,A51090,https://api.argentinadatos.com/static/diputados/diputados/HCDN2368.jpg
HCDN1463,paquetes-od-varios-2020,4031,"Moreau, Cecilia",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50898,https://api.argentinadatos.com/static/diputados/diputados/HCDN1463.jpg
HCDN1489,paquetes-od-varios-2020,4031,"Kirchner, Maximo Carlos",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50966,https://api.argentinadatos.com/static/diputados/diputados/HCDN1489.jpg
HCDN0846,paquetes-od-varios-2020,4031,"Alvarez Rodriguez, Maria Cristina",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50892,
HCDN2862,paquetes-od-varios-2020,4031,"Bormioli, Lisandro",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51267,https://api.argentinadatos.com/static/diputados/diputados/HCDN2862.jpg
vote-moreau-leopoldo,paquetes-od-varios-2020,4031,"Moreau, Leopoldo",,,AFIRMATIVO,afirmativo,A51098,
HCDN1582,paquetes-od-varios-2020,4031,"Austin, Brenda Lis",Córdoba,Ucr,AFIRMATIVO,afirmativo,A51025,https://api.argentinadatos.com/static/diputados/diputados/HCDN1582.jpg
HCDN2752,paquetes-od-varios-2020,4031,"Romero, Victor Hugo",Córdoba,Ucr,AFIRMATIVO,afirmativo,A51155,https://api.argentinadatos.com/static/diputados/diputados/HCDN2752.jpg
HCDN1367,paquetes-od-varios-2020,4031,"Mestre, Diego Matias",Córdoba,Ucr,AFIRMATIVO,afirmativo,A50824,
HCDN1365,paquetes-od-varios-2020,4031,"Carrizo, Soledad",Córdoba,Ucr,AFIRMATIVO,afirmativo,A50821,https://api.argentinadatos.com/static/diputados/diputados/HCDN1365.jpg
HCDN2381,paquetes-od-varios-2020,4031,"Garcia, Alejandro",CABA,Pro,AFIRMATIVO,afirmativo,A51081,https://api.argentinadatos.com/static/diputados/diputados/HCDN2381.jpg
HCDN1433,paquetes-od-varios-2020,4031,"Laspina, Luciano Andres",Santa Fe,Pro,AFIRMATIVO,afirmativo,A50884,https://api.argentinadatos.com/static/diputados/diputados/HCDN1433.jpg
HCDN1565,paquetes-od-varios-2020,4031,"Maquieyra, Martin",La Pampa,Pro,AFIRMATIVO,afirmativo,A51017,https://api.argentinadatos.com/static/diputados/diputados/HCDN1565.jpg
HCDN2427,paquetes-od-varios-2020,4031,"Villa, Natalia Soledad",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51085,https://api.argentinadatos.com/static/diputados/diputados/HCDN2427.jpg
HCDN2375,paquetes-od-varios-2020,4031,"Fernandez Langan, Ezequiel",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51082,https://api.argentinadatos.com/static/diputados/diputados/HCDN2375.jpg
HCDN0926,paquetes-od-varios-2020,4031,"Tonelli, Pablo Gabriel",CABA,Pro,AFIRMATIVO,afirmativo,A50707,https://api.argentinadatos.com/static/diputados/diputados/HCDN0926.jpg
HCDN2812,paquetes-od-varios-2020,4031,"Garcia de Luca, Sebastian",Buenos Aires,Encuentro Federal,AUSENTE,ausente,A51200,https://api.argentinadatos.com/static/diputados/diputados/HCDN2812.jpg
HCDN2380,paquetes-od-varios-2020,4031,"Frizza, Gabriel Alberto",Córdoba,Pro,AFIRMATIVO,afirmativo,A51092,https://api.argentinadatos.com/static/diputados/diputados/HCDN2380.jpg
HCDN2774,paquetes-od-varios-2020,4031,"Rodriguez, Alejandro Topo",Buenos Aires,Consenso Federal,AFIRMATIVO,afirmativo,A51222,
vote-zottos-miguel-andres-costas,paquetes-od-varios-2020,4031,"Zottos, Miguel Andrés Costas",,,AFIRMATIVO,afirmativo,A51101,
HCDN0173,paquetes-od-varios-2020,4031,"Camaño, Graciela",Buenos Aires,Consenso Federal,AFIRMATIVO,afirmativo,A3457,https://api.argentinadatos.com/static/diputados/diputados/HCDN0173.jpg
HCDN2432,paquetes-od-varios-2020,4031,"Bucca, Eduardo",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51129,https://api.argentinadatos.com/static/diputados/diputados/HCDN2432.jpg
HCDN2860,paquetes-od-varios-2020,4031,"Marziotta, Gisela",CABA,Frente de Todos,AFIRMATIVO,afirmativo,A51262,https://api.argentinadatos.com/static/diputados/diputados/HCDN2860.jpg
HCDN2849,paquetes-od-varios-2020,4031,"Sposito, Ayelen",Río Negro,Frente de Todos,AFIRMATIVO,afirmativo,A51256,
HCDN2789,paquetes-od-varios-2020,4031,"Martinez, German Pedro",Santa Fe,Frente de Todos,AFIRMATIVO,afirmativo,A51215,https://api.argentinadatos.com/static/diputados/diputados/HCDN2789.jpg
HCDN0633,paquetes-od-varios-2020,4031,"Osuna, Blanca Ines",Entre Ríos,Frente de Todos,AFIRMATIVO,afirmativo,A51218,https://api.argentinadatos.com/static/diputados/diputados/HCDN0633.jpg
HCDN0972,paquetes-od-varios-2020,4031,"Aguirre, Hilda",La Rioja,Frente de Todos,AFIRMATIVO,afirmativo,A4608,https://api.argentinadatos.com/static/diputados/diputados/HCDN0972.jpg
HCDN2799,paquetes-od-varios-2020,4031,"Leiva, Aldo",Chaco,Frente de Todos,AFIRMATIVO,afirmativo,A51210,https://api.argentinadatos.com/static/diputados/diputados/HCDN2799.jpg
HCDN1097,paquetes-od-varios-2020,4031,"Bernazza, Claudia Alicia",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51266,https://api.argentinadatos.com/static/diputados/diputados/HCDN1097.jpg
HCDN1420,paquetes-od-varios-2020,4031,"Carrizo, Nilda Mabel",Tucumán,Frente de Todos,AFIRMATIVO,afirmativo,A50879,https://api.argentinadatos.com/static/diputados/diputados/HCDN1420.jpg
HCDN2788,paquetes-od-varios-2020,4031,"Obeid, Alejandra del Huerto",Santa Fe,Frente de Todos,AFIRMATIVO,afirmativo,A51231,https://api.argentinadatos.com/static/diputados/diputados/HCDN2788.jpg
HCDN1250,paquetes-od-varios-2020,4031,"Cleri, Marcos",Santa Fe,Frente de Todos,AFIRMATIVO,afirmativo,A50754,https://api.argentinadatos.com/static/diputados/diputados/HCDN1250.jpg
HCDN1479,paquetes-od-varios-2020,4031,"Britez, Maria Cristina",Misiones,Frente de Todos,AFIRMATIVO,afirmativo,A50955,https://api.argentinadatos.com/static/diputados/diputados/HCDN1479.jpg
vote-estevez-gabriela,paquetes-od-varios-2020,4031,"Estevez, Gabriela",,,AFIRMATIVO,afirmativo,A50936,
HCDN1473,paquetes-od-varios-2020,4031,"Masin, Maria Lucila",Chaco,Frente de Todos,AFIRMATIVO,afirmativo,A50925,https://api.argentinadatos.com/static/diputados/diputados/HCDN1473.jpg
HCDN2796,paquetes-od-varios-2020,4031,"Landriscini, Susana Graciela",Río Negro,Frente de Todos,AFIRMATIVO,afirmativo,A51208,https://api.argentinadatos.com/static/diputados/diputados/HCDN2796.jpg
HCDN2423,paquetes-od-varios-2020,4031,"Suarez Lastra, Facundo",CABA,Ucr,AFIRMATIVO,afirmativo,A51079,https://api.argentinadatos.com/static/diputados/diputados/HCDN2423.jpg
HCDN2985,paquetes-od-varios-2020,4031,"Fernandez, Carlos Alberto",Misiones,Innovación Federal,AFIRMATIVO,afirmativo,A51117,https://api.argentinadatos.com/static/diputados/diputados/HCDN2985.jpg
HCDN1447,paquetes-od-varios-2020,4031,"Banfi, Karina",Buenos Aires,Ucr,AFIRMATIVO,afirmativo,A50906,https://api.argentinadatos.com/static/diputados/diputados/HCDN1447.jpg
vote-najul-claudia-ines,paquetes-od-varios-2020,4031,"Najul, Claudia Inés",,,AFIRMATIVO,afirmativo,A51060,
vote-petri-luis-alfonso,paquetes-od-varios-2020,4031,"Petri, Luis Alfonso",,,AFIRMATIVO,afirmativo,A50846,
HCDN1151,paquetes-od-varios-2020,4031,"Buryaile, Ricardo",Formosa,Ucr,AFIRMATIVO,afirmativo,A4757,https://api.argentinadatos.com/static/diputados/diputados/HCDN1151.jpg
HCDN2767,paquetes-od-varios-2020,4031,"Morales Gorleri, Victoria",CABA,Pro,AFIRMATIVO,afirmativo,A51179,https://api.argentinadatos.com/static/diputados/diputados/HCDN2767.jpg
HCDN2809,paquetes-od-varios-2020,4031,"Joury, Maria de las Mercedes",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51205,https://api.argentinadatos.com/static/diputados/diputados/HCDN2809.jpg
HCDN2795,paquetes-od-varios-2020,4031,"Rey, Maria Lujan",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51220,https://api.argentinadatos.com/static/diputados/diputados/HCDN2795.jpg
HCDN2379,paquetes-od-varios-2020,4031,"Fregonese, Alicia",Entre Ríos,Pro,AFIRMATIVO,afirmativo,A51097,https://api.argentinadatos.com/static/diputados/diputados/HCDN2379.jpg
HCDN1386,paquetes-od-varios-2020,4031,"Pastori, Luis Mario",Misiones,Ucr,AFIRMATIVO,afirmativo,A50847,https://api.argentinadatos.com/static/diputados/diputados/HCDN1386.jpg
HCDN2793,paquetes-od-varios-2020,4031,"Angelini, Federico",Santa Fe,Pro,AFIRMATIVO,afirmativo,A51189,https://api.argentinadatos.com/static/diputados/diputados/HCDN2793.jpg
HCDN2783,paquetes-od-varios-2020,4031,"Frigerio, Federico",Tierra del Fuego,Pro,AUSENTE,ausente,A51172,https://api.argentinadatos.com/static/diputados/diputados/HCDN2783.jpg
HCDN2756,paquetes-od-varios-2020,4031,"Estevez, Enrique",Santa Fe,Socialista,AFIRMATIVO,afirmativo,A51232,https://api.argentinadatos.com/static/diputados/diputados/HCDN2756.jpg
HCDN2369,paquetes-od-varios-2020,4031,"Contigiani, Luis Gustavo",Santa Fe,Frente Progresista Civico y Social,AFIRMATIVO,afirmativo,A51045,https://api.argentinadatos.com/static/diputados/diputados/HCDN2369.jpg
HCDN2848,paquetes-od-varios-2020,4031,"Marquez, Claudia Gabriela",Córdoba,Cordoba Federal,AFIRMATIVO,afirmativo,A51247,https://api.argentinadatos.com/static/diputados/diputados/HCDN2848.jpg
HCDN2426,paquetes-od-varios-2020,4031,"Vigo, Alejandra Maria",Córdoba,Cordoba Federal,AFIRMATIVO,afirmativo,A51108,
HCDN2367,paquetes-od-varios-2020,4031,"Cassinerio, Paulo Leonardo",Córdoba,Cordoba Federal,AFIRMATIVO,afirmativo,A51107,https://api.argentinadatos.com/static/diputados/diputados/HCDN2367.jpg
HCDN2768,paquetes-od-varios-2020,4031,"Gutierrez, Carlos",Córdoba,Cordoba Federal,AFIRMATIVO,afirmativo,A51185,https://api.argentinadatos.com/static/diputados/diputados/HCDN2768.jpg
HCDN0917,paquetes-od-varios-2020,4031,"Sarghini, Jorge Emilio",Buenos Aires,Consenso Federal,AFIRMATIVO,afirmativo,A51259,https://api.argentinadatos.com/static/diputados/diputados/HCDN0917.jpg
HCDN1459,paquetes-od-varios-2020,4031,"Selva, Carlos Americo",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A50913,https://api.argentinadatos.com/static/diputados/diputados/HCDN1459.jpg
HCDN2759,paquetes-od-varios-2020,4031,"Aparicio, Alicia N.",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51167,https://api.argentinadatos.com/static/diputados/diputados/HCDN2759.jpg
HCDN1504,paquetes-od-varios-2020,4031,"Massetani, Vanesa Laura",Santa Fe,Frente de Todos,AFIRMATIVO,afirmativo,A50975,https://api.argentinadatos.com/static/diputados/diputados/HCDN1504.jpg
HCDN2413,paquetes-od-varios-2020,4031,"Rosso, Victoria",San Luis,Frente de Todos,AFIRMATIVO,afirmativo,A51041,https://api.argentinadatos.com/static/diputados/diputados/HCDN2413.jpg
HCDN2352,paquetes-od-varios-2020,4031,"Alume Sbodio, Karim Augusto",San Luis,Frente de Todos,AFIRMATIVO,afirmativo,A51042,https://api.argentinadatos.com/static/diputados/diputados/HCDN2352.jpg
HCDN2378,paquetes-od-varios-2020,4031,"Flores, Danilo Adrian",La Rioja,Frente de Todos,AFIRMATIVO,afirmativo,A51046,
HCDN2780,paquetes-od-varios-2020,4031,"Casas, Sergio Guillermo",La Rioja,Frente de Todos,AFIRMATIVO,afirmativo,A51161,https://api.argentinadatos.com/static/diputados/diputados/HCDN2780.jpg
HCDN2425,paquetes-od-varios-2020,4031,"Vazquez, Juan Benedicto",Santa Cruz,Frente de Todos,AFIRMATIVO,afirmativo,A51125,https://api.argentinadatos.com/static/diputados/diputados/HCDN2425.jpg
HCDN1316,paquetes-od-varios-2020,4031,"Gonzalez, Pablo Gerardo",Santa Cruz,Frente de Todos,AUSENTE,ausente,A51159,
HCDN2830,paquetes-od-varios-2020,4031,"Vessvessian, Paola",Santa Cruz,Frente de Todos,AFIRMATIVO,afirmativo,A51227,https://api.argentinadatos.com/static/diputados/diputados/HCDN2830.jpg
HCDN2776,paquetes-od-varios-2020,4031,"Martinez, Maria Rosa",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51216,https://api.argentinadatos.com/static/diputados/diputados/HCDN2776.jpg
HCDN2760,paquetes-od-varios-2020,4031,"Ormachea, Claudia Beatriz",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51217,https://api.argentinadatos.com/static/diputados/diputados/HCDN2760.jpg
HCDN2429,paquetes-od-varios-2020,4031,"Yasky, Hugo",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51095,https://api.argentinadatos.com/static/diputados/diputados/HCDN2429.jpg
HCDN2366,paquetes-od-varios-2020,4031,"Carro, Pablo",Córdoba,Frente de Todos,AFIRMATIVO,afirmativo,A51112,https://api.argentinadatos.com/static/diputados/diputados/HCDN2366.jpg
HCDN2421,paquetes-od-varios-2020,4031,"Siley, Vanesa Raquel",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51120,https://api.argentinadatos.com/static/diputados/diputados/HCDN2421.jpg
HCDN2370,paquetes-od-varios-2020,4031,"Correa, Walter",Buenos Aires,Frente de Todos,AFIRMATIVO,afirmativo,A51124,https://api.argentinadatos.com/static/diputados/diputados/HCDN2370.jpg
HCDN2393,paquetes-od-varios-2020,4031,"Medina, Martin Nicolas",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51071,
HCDN2383,paquetes-od-varios-2020,4031,"Grande, Martin",Salta,Pro,AFIRMATIVO,afirmativo,A51057,
HCDN2786,paquetes-od-varios-2020,4031,"Torres, Ignacio Agustin",Chubut,Juntos por el Cambio Chubut,AFIRMATIVO,afirmativo,A51175,https://api.argentinadatos.com/static/diputados/diputados/HCDN2786.jpg
HCDN2360,paquetes-od-varios-2020,4031,"Berisso, Hernan",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51054,
HCDN2806,paquetes-od-varios-2020,4031,"Amaya, Domingo Luis",Tucumán,Encuentro Federal,AUSENTE,ausente,A51188,https://api.argentinadatos.com/static/diputados/diputados/HCDN2806.jpg
HCDN2405,paquetes-od-varios-2020,4031,"Piccolomini, Maria Carla",Buenos Aires,Pro,AFIRMATIVO,afirmativo,A51087,
HCDN2361,paquetes-od-varios-2020,4031,"Brambilla, Sofia",Corrientes,Pro,AFIRMATIVO,afirmativo,A51039,https://api.argentinadatos.com/static/diputados/diputados/HCDN2361.jpg
HCDN1404,paquetes-od-varios-2020,4031,"Scaglia, Gisela",Santa Fe,Pro,AFIRMATIVO,afirmativo,A50869,https://api.argentinadatos.com/static/diputados/diputados/HCDN1404.jpg
HCDN2409,paquetes-od-varios-2020,4031,"Regidor Belledone, Estela Mercedes",Corrientes,Ucr,AFIRMATIVO,afirmativo,A51036,https://api.argentinadatos.com/static/diputados/diputados/HCDN2409.jpg
HCDN2435,paquetes-od-varios-2020,4031,"Enriquez, Jorge Ricardo",CABA,Pro,AFIRMATIVO,afirmativo,A51132,https://api.argentinadatos.com/static/diputados/diputados/HCDN2435.jpg
HCDN2355,paquetes-od-varios-2020,4031,"Arce, Mario Horacio",Formosa,Ucr,AFIRMATIVO,afirmativo,A51037,https://api.argentinadatos.com/static/diputados/diputados/HCDN2355.jpg
HCDN2387,paquetes-od-varios-2020,4031,"Zamarbide, Federico Raul",Mendoza,Ucr,AFIRMATIVO,afirmativo,A51038,
HCDN1148,paquetes-od-varios-2020,4031,"Benedetti, Atilio",Entre Ríos,Ucr,AFIRMATIVO,afirmativo,A4774,https://api.argentinadatos.com/static/diputados/diputados/HCDN1148.jpg
HCDN1397,paquetes-od-varios-2020,4031,"Riccardo, Jose Luis",San Luis,Ucr,AFIRMATIVO,afirmativo,A50860,
HCDN2385,paquetes-od-varios-2020,4031,"Lacoste, Jorge Enrique",Entre Ríos,Ucr,AFIRMATIVO,afirmativo,A51076,https://api.argentinadatos.com/static/diputados/diputados/HCDN2385.jpg
HCDN2828,paquetes-od-varios-2020,4031,"Stilman, Mariana",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,A51226,https://api.argentinadatos.com/static/diputados/diputados/HCDN2828.jpg
HCDN2810,paquetes-od-varios-2020,4031,"Frade, Monica",Buenos Aires,Coalicion Civica,AUSENTE,ausente,A51199,https://api.argentinadatos.com/static/diputados/diputados/HCDN2810.jpg
HCDN2807,paquetes-od-varios-2020,4031,"Manzi, Ruben",Catamarca,Coalicion Civica,AFIRMATIVO,afirmativo,A51212,https://api.argentinadatos.com/static/diputados/diputados/HCDN2807.jpg
HCDN2389,paquetes-od-varios-2020,4031,"Lehmann, Maria Lucila",Santa Fe,Coalicion Civica,AUSENTE,ausente,A51075,
HCDN0791,paquetes-od-varios-2020,4031,"Sartori, Diego Horacio",Misiones,Frente de la Concordia Misionero,AFIRMATIVO,afirmativo,A51154,https://api.argentinadatos.com/static/diputados/diputados/HCDN0791.jpg
HCDN2428,paquetes-od-varios-2020,4031,"Wellbach, Ricardo",Misiones,Frente de la Concordia Misionero,AFIRMATIVO,afirmativo,A51048,https://api.argentinadatos.com/static/diputados/diputados/HCDN2428.jpg
